Angle_deg,Intensity_counts
-45.004,7.7
-44.84,18.9
-44.696,13.0
-44.556,17.6
-44.393,13.9
-44.265,13.3
-44.094,16.9
-43.956,16.4
-43.794,13.5
-43.646,16.2
-43.508,14.6
-43.345,20.9
-43.197,13.3
-43.056,17.7
-42.88,19.4
-42.742,17.3
-42.612,17.7
-42.46,10.2
-42.297,6.5
-42.147,18.4
-42.007,10.4
-41.838,11.2
-41.699,13.9
-41.559,17.9
-41.404,23.7
-41.252,31.2
-41.116,31.9
-40.958,46.4
-40.818,57.8
-40.653,62.9
-40.494,98.3
-40.363,117.2
-40.197,130.2
-40.062,141.9
-39.902,186.2
-39.755,202.2
-39.612,223.0
-39.455,265.7
-39.312,251.4
-39.147,257.1
-39.0,238.4
-38.838,251.7
-38.715,262.4
-38.539,239.3
-38.401,201.3
-38.246,199.9
-38.102,190.3
-37.935,119.5
-37.786,107.4
-37.639,68.4
-37.497,78.0
-37.373,37.7
-37.194,33.2
-37.05,22.6
-36.901,19.8
-36.746,11.9
-36.588,11.5
-36.447,9.4
-36.305,15.1
-36.158,24.3
-35.996,35.7
-35.839,24.2
-35.695,42.8
-35.545,35.1
-35.405,27.5
-35.262,37.5
-35.091,33.4
-34.944,31.5
-34.818,26.2
-34.657,15.4
-34.49,16.1
-34.339,12.3
-34.206,12.6
-34.027,12.0
-33.886,11.9
-33.74,18.3
-33.601,24.4
-33.464,19.7
-33.292,29.1
-33.132,26.2
-32.991,24.3
-32.861,28.6
-32.689,30.7
-32.557,29.7
-32.422,18.2
-32.247,15.0
-32.127,11.2
-31.949,13.9
-31.79,12.2
-31.64,14.9
-31.473,22.1
-31.343,18.8
-31.21,22.6
-31.044,35.5
-30.893,33.6
-30.756,33.8
-30.617,43.9
-30.454,43.3
-30.307,26.8
-30.154,24.9
-30.002,25.9
-29.842,23.9
-29.694,17.6
-29.536,9.3
-29.405,12.4
-29.241,12.1
-29.117,28.3
-28.95,45.9
-28.816,37.5
-28.659,54.0
-28.49,58.7
-28.36,79.7
-28.186,75.4
-28.033,78.3
-27.895,63.9
-27.753,58.3
-27.61,29.9
-27.458,28.9
-27.301,7.8
-27.16,14.7
-27.001,30.0
-26.858,55.5
-26.694,118.5
-26.568,196.6
-26.395,296.8
-26.24,412.1
-26.11,537.6
-25.935,775.7
-25.785,865.8
-25.643,1084.9
-25.515,1207.9
-25.347,1388.1
-25.216,1481.6
-25.055,1528.7
-24.913,1644.4
-24.748,1622.7
-24.607,1457.3
-24.447,1418.4
-24.291,1264.9
-24.157,1044.9
-23.995,910.1
-23.854,752.7
-23.702,547.3
-23.553,401.5
-23.408,281.1
-23.256,153.7
-23.091,71.7
-22.94,28.5
-22.8,9.9
-22.642,14.7
-22.49,39.3
-22.344,60.7
-22.221,71.8
-22.051,107.7
-21.887,126.4
-21.747,131.5
-21.601,125.2
-21.454,103.9
-21.297,79.1
-21.154,66.6
-20.992,39.5
-20.851,28.5
-20.7,11.1
-20.545,11.7
-20.388,23.6
-20.252,21.7
-20.096,36.9
-19.953,62.0
