# Diffraction Grating Intensity Scan
# Wavelength_nm: 632.8
# Grating_spacing_nm: 3000.0
# Slit_width_nm: 800.0
# Date: 2026-08-01
Angle         Intensity
degree        counts
-45.000       10.5
-44.850        9.6
-44.700       16.3
-44.550       11.5
-44.400       15.2
-44.250       12.2
-44.100       11.4
-43.950       16.3
-43.800        8.1
-43.650       13.7
-43.500       15.0
-43.350       14.4
-43.200       15.2
-43.050       24.3
-42.900       19.9
-42.750        9.6
-42.600       24.1
-42.450       19.1
-42.300       20.5
-42.150       11.7
-42.000       11.8
-41.850       12.5
-41.700       15.5
-41.550       12.9
-41.400       18.2
-41.250       22.5
-41.100       41.5
-40.950       47.0
-40.800       64.8
-40.650       80.3
-40.500      104.1
-40.350      116.1
-40.200      153.6
-40.050      150.2
-39.900      185.8
-39.750      199.4
-39.600      220.2
-39.450      265.0
-39.300      283.7
-39.150      259.0
-39.000      237.4
-38.850      254.3
-38.700      278.7
-38.550      240.4
-38.400      208.0
-38.250      181.9
-38.100      186.4
-37.950      138.9
-37.800      122.9
-37.650       87.5
-37.500       66.0
-37.350       44.6
-37.200       28.0
-37.050       19.9
-36.900       15.3
-36.750        9.0
-36.600       14.1
-36.450       21.3
-36.300       24.2
-36.150       24.7
-36.000       21.0
-35.850       41.8
-35.700       39.7
-35.550       42.2
-35.400       44.0
-35.250       46.6
-35.100       42.5
-34.950       30.2
-34.800       23.7
-34.650       16.4
-34.500       16.8
-34.350       13.4
-34.200       13.3
-34.050       11.4
-33.900       16.5
-33.750       14.3
-33.600       28.9
-33.450       30.2
-33.300       32.5
-33.150       38.5
-33.000       27.1
-32.850       38.8
-32.700       28.0
-32.550       26.1
-32.400       11.6
-32.250       19.1
-32.100       14.9
-31.950       15.2
-31.800        9.8
-31.650       10.3
-31.500       14.5
-31.350       19.3
-31.200       30.9
-31.050       37.7
-30.900       33.7
-30.750       37.1
-30.600       42.6
-30.450       44.1
-30.300       38.8
-30.150       32.2
-30.000       27.0
-29.850       21.6
-29.700       12.2
-29.550       15.5
-29.400        8.8
-29.250       12.6
-29.100       14.8
-28.950       28.3
-28.800       38.4
-28.650       54.7
-28.500       68.7
-28.350       59.9
-28.200       76.3
-28.050       60.3
-27.900       58.1
-27.750       41.8
-27.600       44.7
-27.450       27.6
-27.300       11.5
-27.150        8.6
-27.000       18.6
-26.850       49.4
-26.700       95.4
-26.550      159.5
-26.400      299.5
-26.250      398.3
-26.100      561.0
-25.950      724.5
-25.800      895.5
-25.650     1078.1
-25.500     1247.6
-25.350     1399.5
-25.200     1506.8
-25.050     1618.3
-24.900     1560.3
-24.750     1598.0
-24.600     1468.1
-24.450     1337.9
-24.300     1277.2
-24.150     1133.6
-24.000      921.5
-23.850      791.7
-23.700      584.6
-23.550      437.2
-23.400      260.5
-23.250      150.8
-23.100       92.3
-22.950       17.3
-22.800       10.6
-22.650       15.2
-22.500       37.0
-22.350       55.3
-22.200       94.4
-22.050       98.9
-21.900      144.1
-21.750      144.0
-21.600      127.4
-21.450      126.0
-21.300      101.3
-21.150       51.8
-21.000       40.4
-20.850       28.9
-20.700       20.4
-20.550       16.3
-20.400       20.4
-20.250       15.9
-20.100       45.1
-19.950       44.7
-19.800       72.4
-19.650       73.6
-19.500       82.9
-19.350       84.1
-19.200       77.2
-19.050       60.1
-18.900       45.3
-18.750       26.5
-18.600       14.0
-18.450       15.5
-18.300       16.0
-18.150       28.3
-18.000       35.0
-17.850       67.0
-17.700       83.5
-17.550       78.2
-17.400       87.0
-17.250       93.9
-17.100       69.9
-16.950       81.3
-16.800       49.5
-16.650       33.6
-16.500       15.6
-16.350       14.7
-16.200       22.7
-16.050       24.5
-15.900       65.2
-15.750      111.3
-15.600      117.7
-15.450      162.3
-15.300      190.6
-15.150      193.4
-15.000      189.3
-14.850      133.7
-14.700      122.1
-14.550       66.5
-14.400       17.6
-14.250       15.2
-14.100       37.7
-13.950       96.2
-13.800      230.8
-13.650      419.9
-13.500      666.7
-13.350      982.5
-13.200     1451.4
-13.050     1865.9
-12.900     2232.4
-12.750     2630.4
-12.600     3066.7
-12.450     3227.6
-12.300     3491.0
-12.150     3603.8
-12.000     3424.0
-11.850     3203.0
-11.700     3062.0
-11.550     2682.8
-11.400     2364.9
-11.250     1783.0
-11.100     1459.4
-10.950      972.5
-10.800      680.8
-10.650      388.0
-10.500      204.5
-10.350       78.0
-10.200       14.1
-10.050       14.6
 -9.900       59.7
 -9.750      112.4
 -9.600      151.9
 -9.450      203.1
 -9.300      222.5
 -9.150      229.1
 -9.000      215.4
 -8.850      171.8
 -8.700      127.1
 -8.550      104.2
 -8.400       45.1
 -8.250       28.0
 -8.100        9.3
 -7.950       13.2
 -7.800       42.5
 -7.650       68.2
 -7.500       96.3
 -7.350      131.8
 -7.200      125.0
 -7.050      150.1
 -6.900      147.4
 -6.750      106.2
 -6.600      102.5
 -6.450       55.6
 -6.300       25.4
 -6.150       13.9
 -6.000       12.3
 -5.850       18.9
 -5.700       59.0
 -5.550       75.8
 -5.400      111.6
 -5.250      128.3
 -5.100      149.9
 -4.950      140.5
 -4.800      132.9
 -4.650      104.0
 -4.500       78.4
 -4.350       40.4
 -4.200       17.3
 -4.050        7.3
 -3.900       19.3
 -3.750       40.2
 -3.600       79.6
 -3.450      160.2
 -3.300      196.5
 -3.150      253.0
 -3.000      275.8
 -2.850      247.2
 -2.700      248.0
 -2.550      212.2
 -2.400      126.8
 -2.250       57.0
 -2.100       10.9
 -1.950       13.2
 -1.800       77.0
 -1.650      223.6
 -1.500      443.2
 -1.350      761.6
 -1.200     1244.1
 -1.050     1729.1
 -0.900     2312.3
 -0.750     2871.5
 -0.600     3396.1
 -0.450     3783.9
 -0.300     4095.0
 -0.150     4095.0
 -0.000     4095.0
  0.150     4095.0
  0.300     4095.0
  0.450     3846.9
  0.600     3309.4
  0.750     2878.2
  0.900     2292.4
  1.050     1718.0
  1.200     1212.4
  1.350      787.6
  1.500      470.4
  1.650      206.8
  1.800       79.0
  1.950       19.0
  2.100       19.8
  2.250       80.6
  2.400      118.0
  2.550      199.5
  2.700      257.6
  2.850      249.9
  3.000      277.0
  3.150      245.7
  3.300      203.5
  3.450      139.2
  3.600       89.8
  3.750       46.1
  3.900       19.8
  4.050        8.9
  4.200       25.9
  4.350       48.6
  4.500       63.7
  4.650       97.9
  4.800      116.4
  4.950      174.3
  5.100      132.1
  5.250      119.0
  5.400       91.8
  5.550       63.0
  5.700       47.1
  5.850       25.9
  6.000       12.1
  6.150        7.7
  6.300       33.9
  6.450       51.9
  6.600       83.5
  6.750      102.8
  6.900      116.4
  7.050      141.0
  7.200      124.4
  7.350      128.6
  7.500     1457.0
  7.650       60.8
  7.800       27.3
  7.950       20.0
  8.100       12.9
  8.250       18.8
  8.400       45.8
  8.550       81.2
  8.700      131.7
  8.850      189.6
  9.000      207.7
  9.150      219.5
  9.300      233.3
  9.450      187.4
  9.600      170.0
  9.750      109.8
  9.900       42.8
 10.050       18.8
 10.200       15.9
 10.350       80.5
 10.500      194.5
 10.650      376.1
 10.800      676.8
 10.950      985.1
 11.100     1387.0
 11.250     1822.5
 11.400     2247.0
 11.550     2719.9
 11.700     2979.3
 11.850     3298.3
 12.000     3529.7
 12.150     3523.1
 12.300     3565.0
 12.450     3342.5
 12.600     3032.2
 12.750     2721.2
 12.900     2211.2
 13.050     1886.7
