Point_ID,Sweep,Field_mT,Current_mA,Hall_Voltage_mV
1,Up,0,5.0,2.2252
2,Up,20,5.0,3.0936
3,up,40,5.0,3.5822
4,Up,60,5.0,9.0749
5,Up,80,5.0,
6,Up,100,5.0,15.0747
7,up,120,5.0,18.0857
8,Up,140,5.0,21.0794
9,Up,160,5.0,24.0875
10,Up,180,5.0,27.0615
11,Up,200,5.0,30.0957
12,Up,220,5.0,33.079
13,Up,240,5.0,36.0868
14,Up,260,5.0,39.0786
15,Up,280,5.0,42.0762
16,Up,300,5.0,45.0846
17,Down,300,5.0,45.1082
18,down,280,5.0,42.098
19,Down,260,5.0,39.0985
20,Down,240,5.0,36.1069
21,Down,220,5.0,33.0913
22,Down,200,5.0,30.0849
23,Down,180,5.0,27.1039
24,Down,160,5.0,24.0933
25,Down,140,5.0,21.0808
26,Down,120,5.0,18.0919
27,Down,100,5.0,15.0953
28,Down,80,5.0,12.0881
29,DOWN,60,5.0,9.0851
30,Down,40,5.0,6.1004
31,Down,20,5.0,3.109
32,Down,0,5.0,0.0977
