Event_ID,Timestamp_s,Pulse_Height_mV
1,0.646,72.91
2,1.005,8.03
3,7.795,43.74
4,8.453,21.51
5,8.959,7.38
6,9.01,40.44
7,13.324,26.64
8,16.183,31.48
9,16.462,36.47
10,18.164,37.89
11,24.09,14.94
12,28.599,47.94
14,30.106,14.67
13,29.173,32.24
15,33.93,59.43
16,35.021,55.33
16,35.021,55.33
17,35.206,45.71
18,44.095,59.97
19,47.419,66.22
20,50.751,66.72
21,56.621,16.85
22,58.343,10.89
23,63.25,35.01
24,68.58,53.74
25,70.289,12.78
26,71.408,5.0
27,73.025,34.26
28,74.899,18.46
29,75.887,15.36
30,81.241,34.65
31,83.43,26.19
32,83.656,5.0
33,87.726,16.72
34,89.447,5.0
35,91.129,15.58
36,91.454,56.19
37,91.629,9.77
38,95.023,10.45
39,97.386,12.15
40,100.97,11.73
41,105.811,27.82
42,112.089,33.8
43,112.882,44.01
44,115.5,6.25
45,116.36,28.99
46,118.764,29.2
47,119.124,14.76
48,119.359,8.64
49,119.699,33.06
50,120.094,29.21
51,121.82,27.69
52,122.987,19.35
53,141.558,51.02
54,148.094,33.41
55,148.381,15.99
56,151.55,28.98
57,153.19,32.92
58,154.807,13.01
59,155.599,27.02
60,158.11,88.86
61,159.99,18.49
62,161.741,7.8
63,167.219,55.07
64,167.518,35.17
65,167.953,45.66
66,169.84,27.49
67,170.944,77.4
68,172.41,11.6
69,173.073,37.64
70,173.375,18.91
71,177.561,5.56
72,179.553,29.41
73,184.385,32.31
74,190.005,5.0
75,190.73,23.0
76,195.629,47.24
77,200.232,10.08
78,202.235,56.05
79,202.355,19.48
80,209.366,11.01
81,216.477,9.79
82,220.553,11.47
83,222.398,34.94
84,223.0,23.13
85,225.259,17.68
86,227.243,43.37
87,230.788,16.38
88,233.324,119.06
89,234.102,30.09
90,238.275,5.0
91,239.97,5.0
92,244.11,8.44
93,244.768,28.83
94,245.091,19.81
95,245.131,63.57
96,253.102,6.74
97,253.666,31.95
98,253.734,18.93
99,260.054,21.88
100,261.213,23.86
101,267.758,15.55
102,268.104,37.52
103,272.203,32.02
104,275.974,15.48
105,277.066,
106,277.313,41.01
107,278.744,13.8
108,285.076,36.86
109,285.418,7.94
110,286.293,27.1
111,286.419,15.86
112,290.129,42.0
113,292.096,45.63
114,297.835,24.49
115,304.033,14.15
116,304.722,86.57
117,305.073,60.91
118,306.306,37.44
119,321.957,17.53
120,323.057,37.86
121,323.383,54.29
122,324.552,38.23
123,328.644,31.85
124,333.091,5.55
125,333.828,19.05
126,336.499,18.14
127,339.869,73.22
128,346.952,39.79
129,351.175,14.1
130,355.625,18.4
131,366.022,13.31
132,367.808,11.74
133,370.583,56.72
134,373.347,39.4
135,376.609,43.48
136,383.027,20.98
137,387.863,50.03
138,389.435,39.44
139,390.719,45.86
140,393.896,27.57
141,397.684,20.39
142,397.728,39.57
143,398.315,31.56
144,398.524,22.6
145,400.549,10.65
146,401.561,75.64
147,407.536,18.44
148,409.081,5.0
149,416.303,44.51
150,423.133,27.08
151,425.747,12.5
152,426.948,26.93
153,427.802,11.3
154,434.968,36.86
155,435.708,52.79
156,449.824,41.18
157,450.821,14.18
158,450.825,5.91
159,451.486,37.22
160,452.572,31.51
161,453.345,8.54
162,454.66,22.01
163,455.985,9.75
164,456.831,11.87
165,465.739,58.82
166,466.901,9.86
167,469.674,17.1
168,471.394,12.63
169,472.538,34.56
170,485.935,31.59
171,488.808,5.0
172,490.198,45.16
173,494.378,37.99
174,502.189,15.78
175,508.757,22.38
176,512.841,5.0
177,514.588,29.23
178,515.84,107.59
179,522.679,25.17
180,533.096,23.77
181,544.092,48.16
182,549.884,55.45
183,551.456,67.75
184,556.493,61.85
185,559.423,30.25
186,566.184,81.01
187,567.4,33.94
188,568.59,5.0
189,573.268,27.49
190,576.742,8.75
191,580.708,14.78
192,583.469,25.27
193,586.486,20.46
194,587.063,5.0
195,593.078,57.01
196,595.224,16.83
197,599.638,16.02
198,600.945,35.54
199,602.598,15.58
200,603.328,25.16
201,605.294,40.89
202,607.207,64.0
203,607.567,7.94
204,609.715,9.67
205,614.418,27.13
206,617.957,25.25
207,619.093,112.29
208,619.935,5.24
209,622.077,7.14
210,622.843,26.62
211,623.632,17.04
212,628.794,40.01
213,631.385,19.0
214,631.791,50.29
215,631.792,41.65
216,638.728,13.18
217,641.436,32.62
218,645.831,28.25
219,648.815,24.15
220,649.601,16.54
221,654.403,73.97
222,655.391,21.98
223,657.442,28.39
224,657.676,53.13
225,658.34,24.69
226,658.649,9.09
227,659.294,5.0
228,659.366,40.18
229,659.419,36.54
230,659.801,21.21
231,664.192,30.79
232,665.467,24.44
233,670.212,67.21
234,671.677,29.56
235,677.883,45.73
236,682.782,19.24
237,700.813,19.9
238,700.879,64.87
239,702.207,31.26
240,706.326,35.82
241,708.462,33.74
242,718.417,15.02
243,727.316,6.09
244,729.564,5.0
245,732.441,46.03
246,736.049,34.36
247,736.313,15.69
248,737.341,25.29
249,738.984,18.21
250,746.649,19.1
251,749.753,5.0
252,750.85,38.99
253,750.884,20.8
254,754.564,24.23
255,757.242,85.93
