# Cosmic-Ray Muon Telescope - Coincidence Event Log
# Apparatus: 2-fold scintillator telescope + coincidence electronics
# Scintillator_area_cm2: 400
# Coincidence_window_ns: 50
# Discriminator_threshold_mV: 5.0
# HV_top_V: 1450   HV_bottom_V: 1470
# Run_start: 2026-08-03 14:00:00   Run_duration_s: 3600
# Columns: Timestamp_s   Pulse_Height_mV
#
0.646	72.91
     1.005      8.03
     7.795     43.74
     8.453     21.51
     8.959      7.38
     9.010     40.44
    13.324     26.64
    16.183     31.48
    16.462     36.47
    18.164     37.89
    24.090     14.94
    28.599     47.94
    29.173     32.24
    30.106     14.67
    33.930     59.43
    35.021     55.33
    35.206     45.71
    44.095     59.97
    47.419     66.22
    50.751     66.72
    56.621     16.85
    58.343     10.89
    63.250     35.01
    68.580     53.74
    70.289     12.78
    71.408      5.00
    73.025     34.26
    74.899     18.46
    75.887     15.36
    81.241     34.65
    83.430     26.19
    83.656      5.00
    87.726     16.72
    89.447      5.00
    91.129     15.58
    91.454     56.19
    91.629      9.77
    95.023     10.45
    97.386     12.15
   100.970     11.73
   105.811     27.82
   112.089     33.80
   112.882     44.01
   115.500      6.25
   116.360     28.99
   118.764     29.20
   119.124     14.76
   119.359      8.64
   119.699     33.06
   120.094     29.21
   121.820     27.69
   122.987     19.35
   141.558     51.02
   148.094     33.41
   148.381     15.99
   151.550     28.98
   153.190     32.92
   154.807     13.01
   155.599     27.02
   158.110     88.86
   159.990     18.49
   161.741      7.80
   167.219     55.07
   167.518     35.17
   167.953     45.66
   169.840     27.49
   170.944     77.40
   172.410     11.60
   173.073     37.64
   173.375     18.91
   177.561      5.56
   179.553     29.41
   184.385     32.31
   190.005      5.00
   190.730     23.00
   195.629     47.24
   200.232     10.08
   202.235     56.05
   202.355     19.48
   209.366     11.01
   216.477      9.79
   220.553     11.47
   222.398     34.94
   223.000     23.13
   225.259     17.68
   227.243     43.37
   230.788     16.38
   233.324    119.06
   234.102     30.09
   238.275      5.00
   239.970      5.00
   244.110      8.44
   244.768     28.83
   245.091     19.81
   245.131     63.57
   253.102      6.74
   253.666     31.95
   253.734     18.93
   260.054     21.88
   261.213     23.86
   267.758     15.55
   268.104     37.52
   272.203     32.02
   275.974     15.48
   277.066      6.16
   277.313     41.01
   278.744     13.80
   285.076     36.86
   285.418      7.94
   286.293     27.10
   286.419     15.86
   290.129     42.00
   292.096     45.63
   297.835     24.49
   304.033     14.15
   304.722     86.57
   305.073     60.91
   306.306     37.44
   321.957     17.53
   323.057     37.86
   323.383     54.29
   324.552     38.23
   328.644     31.85
   333.091	5.55
   333.828     19.05
   336.499     18.14
   339.869     73.22
   346.952     39.79
   351.175     14.10
   355.625     18.40
   366.022     13.31
   367.808     11.74
   370.583     56.72
   373.347     39.40
   376.609     43.48
   383.027     20.98
   387.863     50.03
   389.435     39.44
   390.719     45.86
   393.896     27.57
   397.684     20.39
   397.728     39.57
   398.315     31.56
   398.524     22.60
   400.549     10.65
   401.561     75.64
   407.536     18.44
   409.081      5.00
   416.303     44.51
   423.133     27.08
   425.747     12.50
   426.948     26.93
   427.802     11.30
   434.968     36.86
   435.708     52.79
   449.824     41.18
   450.821     14.18
   450.825      5.91
   451.486     37.22
   452.572     31.51
   453.345      8.54
   454.660     22.01
   455.985      9.75
   456.831     11.87
   465.739     58.82
   466.901      9.86
   469.674     17.10
   471.394     12.63
   472.538     34.56
   485.935     31.59
   488.808      5.00
   490.198     45.16
   494.378     37.99
   502.189     15.78
   508.757     22.38
   512.841      5.00
   514.588     29.23
   515.840    107.59
   522.679     25.17
   533.096     23.77
   544.092     48.16
   549.884     55.45
   551.456     67.75
   556.493     61.85
   559.423     30.25
   566.184     81.01
   567.400     33.94
   568.590      5.00
   573.268     27.49
   576.742      8.75
   580.708     14.78
   583.469     25.27
   586.486     20.46
   587.063      5.00
   593.078     57.01
   595.224     16.83
   599.638     16.02
   600.945     35.54
   602.598     15.58
   603.328     25.16
   605.294     40.89
   607.207     64.00
   607.567      7.94
   609.715      9.67
   614.418     27.13
   617.957     25.25
   619.093    112.29
   619.935      5.24
   622.077      7.14
   622.843     26.62
   623.632     17.04
   628.794     40.01
   631.385     19.00
   631.791     50.29
   631.792     41.65
   638.728     13.18
   641.436     32.62
   645.831     28.25
   648.815     24.15
   649.601     16.54
   654.403     73.97
   655.391     21.98
   657.442     28.39
   657.676     53.13
   658.340     24.69
   658.649      9.09
   659.294      5.00
   659.366     40.18
   659.419     36.54
   659.801     21.21
   664.192     30.79
   665.467     24.44
   670.212     67.21
   671.677     29.56
   677.883     45.73
   682.782     19.24
   700.813     19.90
   700.879     64.87
   702.207     31.26
   706.326     35.82
   708.462     33.74
   718.417     15.02
   727.316      6.09
   729.564      5.00
   732.441     46.03
   736.049     34.36
   736.313     15.69
   737.341     25.29
   738.984     18.21
   746.649     19.10
   749.753      5.00
   750.850     38.99
   750.884     20.80
   754.564     24.23
   757.242     85.93
   760.681     45.56
   761.445      5.00
   764.097     14.21
   767.331     12.84
   771.634     16.47
   772.014     37.07
   777.249     51.87
   777.436     30.24
   778.523     54.48
   779.911     12.31
   780.945     12.42
   787.496     33.62
   788.726     12.81
   799.143     20.34
   802.435     22.36
   804.808     13.47
   807.581      5.00
   810.372      8.58
   814.920     86.11
   828.148      9.98
   828.761     29.55
   829.854     19.63
   835.699     69.14
   837.930     33.28
   842.810     38.93
   844.004     57.31
   854.421     42.75
   855.047      8.07
   856.643     17.85
   858.902     65.22
   863.034     32.93
   863.692      6.30
   866.592     12.26
   869.466     73.49
   871.628      5.00
   871.746     41.82
   872.585     71.19
   874.775     29.80
   875.384      7.82
   879.425     31.53
   889.108     89.13
   889.838     35.33
   891.531     11.37
   893.057     33.84
   895.343     71.64
  1079.776     30.96
  1080.146     10.78
  1082.378     14.69
  1084.440     36.00
  1087.506     33.06
  1094.012     39.99
  1096.403     58.14
  1099.631     74.16
  1104.778     32.90
  1108.407     87.29
  1119.216      6.84
  1120.260     24.02
  1122.783     31.07
  1123.370     24.88
  1126.860     21.98
  1127.931      9.02
  1135.809     18.40
  1139.940      5.00
  1145.888     19.44
  1146.084     76.00
  1147.108     21.22
  1147.190     50.77
  1150.009     32.10
  1151.409     36.01
  1158.335     28.69
  1166.919     39.34
  1168.918     44.71
  1171.054      5.00
  1172.760     16.21
  1176.045      8.90
  1188.670     19.43
  1189.116      5.86
  1189.494     43.64
  1196.928     12.29
  1199.835     53.02
  1200.022     33.84
  1200.159     64.78
  1204.837      5.00
  1206.221      5.79
  1209.787      5.00
  1211.594     16.03
  1228.859     51.37
  1234.015      8.71
  1234.240     63.22
  1241.013     57.17
  1243.582     16.01
  1244.199     24.15
  1246.618     20.48
  1247.988     38.27
  1249.867     60.64
  1250.087     12.49
  1253.788     67.15
  1256.859     15.96
  1258.430     30.65
  1260.530     16.38
  1260.870     17.11
  1265.470     16.83
  1270.623     29.65
  1272.481     40.68
  1276.578     17.17
  1280.234     75.19
  1285.161     17.03
  1286.171     17.36
  1288.714      6.83
  1294.478      7.96
  1294.608     39.26
  1295.911     14.47
  1296.424     10.46
  1297.137      5.00
  1298.077     34.12
  1299.107     24.87
  1299.612      8.26
  1302.057     15.43
  1303.186     48.28
  1306.357     19.86
  1313.412     17.62
  1316.086    133.00
  1325.358     49.93
  1328.094     40.36
  1329.528     63.66
  1331.046     27.50
  1334.017     56.37
  1334.167     25.25
  1335.368     67.91
  1339.122     21.91
  1344.463     44.53
  1346.512     26.37
  1351.945     18.10
  1364.311     52.87
  1367.872     56.19
  1377.755     64.90
  1379.738     23.67
  1380.033     34.09
  1386.472     80.69
  1388.792     25.56
