# Simple Pendulum - Photogate Timing Log
# Apparatus: Photogate timer, single-period trigger mode
# Date: 2026-07-28   Operator: Demo   g_assumed_m_s2: 9.81
# Columns: Length_m   Trial_No   Period_s
#
  0.20        1       0.8923
  0.20        2       0.8974
  0.20        3       0.8994
  0.20        4       0.8964
  0.20        5       0.8999
  0.30        1       1.0985
  0.30        2       1.1014
  0.30        3       1.1045
  0.30        4       1.0961
  0.30        5       1.0996
  0.40        1       1.2669
  0.40        2       1.2693
  0.40        3       1.2640
  0.40        4       1.2664
  0.40        5       1.2680
  0.50        1       1.4221
  0.50        3       1.4132
  0.50        4       1.4153
  0.50        5       1.4211
  0.60        1       1.5459
  0.60        2       1.5520
  0.60        3       1.5535
  0.60        4       1.5589
  0.60        5       1.5567
  0.70        2       1.6769
  0.70        3       1.6774
  0.70        4       1.6845
  0.70        5       1.6767
  0.80        1       1.7931
  0.80        3       1.7938
  0.80        4       1.7935
  0.80        5       1.7898
  0.90        1       1.9031
  0.90        2       1.9013
  0.90        3       1.9078
  0.90        4       1.9057
  0.90        5       1.9030
  1.00        1       0.1467
  1.00        2       2.0047
  1.00        3       2.0103
  1.00        4       2.0060
  1.00        5       2.0084
