Trial_ID,Length_m,Trial_No,Time_10osc_s,Period_s_reference_only
1,0.2,1,8.97,0.897
2,0.2,2,9.02,0.902
3,0.2,3,8.93,0.893
4,0.2,4,8.84,0.884
5,0.2,5,7.2,0.72
6,0.3,1,10.84,1.084
7,0.3,2,11.0,1.1
8,0.3,3,11.19,1.119
9,0.3,4,10.91,1.091
10,0.3,5,10.89,1.089
11,0.4,1,12.76,1.276
11,0.4,1,12.76,1.276
12,0.4,2,12.74,1.274
13,0.4,3,12.7,1.27
14,0.4,4,12.55,1.255
15,0.4,5,12.68,1.268
16,0.5,1,14.29,1.429
17,0.5,2,13.98,1.398
18,0.5,3,14.12,1.412
19,0.5,4,13.9,1.39
20,0.5,5,13.99,1.399
21,0.6,1,12.33,1.233
22,0.6,2,15.5,1.55
23,0.6,3,15.35,1.535
24,0.6,4,,
25,0.6,5,15.56,1.556
26,0.7,1,16.76,1.676
27,0.7,2,16.41,1.641
28,0.7,3,16.7,1.67
29,0.7,4,N/A,
30,0.7,5,16.8,1.68
31,0.8,1,,
32,0.8,2,17.87,1.787
33,0.8,3,17.8,1.78
34,0.8,4,17.82,1.782
35,0.8,5,18.1,1.81
36,0.9,1,18.91,1.891
37,0.9,2,19.03,1.903
38,0.9,3,19.16,1.916
39,0.9,4,18.94,1.894
40,0.9,5,19.01,1.901
41,1.0,1,20.08,2.008
42,1.0,2,20.07,2.007
43,1.0,3,19.88,1.988
44,1.0,4,20.07,2.007
45,1.0,5,20.26,2.026
